Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
56,51.57 ,2.20 ,1.06 ,1.15 ,0.97 ,0.16 ,23.38 ,7.56 ,34.18 ,0.17 ,704,826,762.61 ,760,27.44 ,-0.07 ,0.16 ,-6.74 ,0.15 ,0.36 ,87,186.72 ,8.75,8.06 ,0.43 ,10.54 ,0.41 ,0
57,52.49 ,-9.88 ,0.44 ,0.45 ,0.43 ,0.05 ,-74.75 ,3.74 ,15.71 ,0.12 ,730,900,812.60 ,819,35.94 ,-0.45 ,0.08 ,-3.56 ,0.08 ,0.25 ,14,22.90 ,8.75,9.87 ,-0.01 ,9.87 ,-0.01 ,0
58,52.79 ,8.72 ,0.34 ,0.44 ,0.26 ,0.41 ,-5.70 ,1.13 ,6.31 ,0.03 ,580,654,618.80 ,618,15.74 ,0.25 ,0.09 ,-1.09 ,0.11 ,0.25 ,63,118.80 ,8.8,9.68 ,1.35 ,10.72 ,0.54 ,"Alessi_62__cgoc__3,Alessi_62__khar__1,Alessi_62__dias__1"
59,53.80 ,-0.95 ,0.86 ,1.07 ,0.69 ,0.35 ,30.16 ,3.07 ,16.96 ,0.15 ,518,729,621.91 ,623,25.10 ,-4.46 ,0.11 ,-3.43 ,0.10 ,0.29 ,35,74.61 ,8.45,9.60 ,0.90 ,11.91 ,0.67 ,"Gulliver_28__cgoc__3,Kronberger_79__khar__1,Kronberger_79__dias__1"
60,54.44 ,-2.71 ,1.28 ,1.49 ,1.10 ,0.26 ,-32.71 ,9.86 ,48.00 ,0.12 ,604,813,705.69 ,706,42.93 ,0.80 ,0.14 ,-6.77 ,0.17 ,0.37 ,88,142.93 ,7.9,7.41 ,0.31 ,11.47 ,0.23 ,"ASCC_104__khar__1,Roslund_1__khar__1,ASCC_104__dias__1,Roslund_1__dias__1,Roslund_1__cocd__1"
61,54.46 ,16.85 ,0.70 ,0.72 ,0.67 ,0.07 ,33.16 ,1.82 ,18.02 ,0.23 ,226,473,347.60 ,348,11.90 ,0.57 ,0.16 ,-5.32 ,0.15 ,0.37 ,35,41.41 ,7.55,7.06 ,-0.14 ,7.06 ,-0.14 ,UBC9__ubc__2d
62,54.52 ,3.61 ,0.28 ,0.33 ,0.23 ,0.30 ,23.40 ,0.89 ,3.41 ,0.07 ,830,987,905.40 ,895,39.57 ,-0.43 ,0.12 ,-5.41 ,0.08 ,0.29 ,26,104.80 ,6.75,13.04 ,1.80 ,13.94 ,1.57 ,0
63,54.63 ,-3.38 ,0.22 ,0.22 ,0.22 ,0.02 ,8.61 ,1.34 ,5.35 ,0.02 ,788,932,861.44 ,862,39.01 ,-0.82 ,0.09 ,-5.83 ,0.06 ,0.19 ,15,32.19 ,7.75,10.92 ,0.40 ,11.40 ,0.36 ,"Roslund_1__khar__1,Roslund_1__dias__1,Roslund_1__cocd__1"
64,54.76 ,11.90 ,1.41 ,1.44 ,1.37 ,0.05 ,12.56 ,3.95 ,30.75 ,0.40 ,261,623,435.80 ,442,57.28 ,-0.93 ,0.11 ,-5.03 ,0.12 ,0.32 ,21,24.89 ,8,10.47 ,0.37 ,10.47 ,0.37 ,0
65,55.40 ,7.39 ,0.37 ,0.48 ,0.28 ,0.41 ,37.45 ,2.29 ,10.40 ,0.04 ,713,798,754.84 ,758,19.74 ,-1.86 ,0.08 ,-3.56 ,0.08 ,0.20 ,23,43.44 ,8.9,10.05 ,0.50 ,11.63 ,0.46 ,0
