Name,l,b,r,a,b,e,angle,rc_pc,rc_min,rc_error,d_min,d_max,dist,dmod,dist_e,pmra,pmra_e,pmdec,pmdec_e,r_pm,member,cal_mem,age,br,brbv,bl,blbv,corresponding_clusters
213,113.09 ,-0.64 ,3.01 ,3.03 ,2.98 ,0.02 ,1.15 ,24.27 ,108.47 ,0.94 ,639,899,773.24 ,769,58.01 ,-5.98 ,0.15 ,-1.42 ,0.15 ,0.30 ,78,147.08 ,8.7,8.97 ,1.40 ,9.98 ,0.31 ,"Pfleiderer_3__khar__1,King_19__khar__1,NGC_7510__khar__1,NGC_7538__khar__1,FSR_0417__khar__1,FSR_0425__khar__1,FSR_0422__khar__1,Markarian_50__khar__1,IRAS_23151+5912__khar__1,Cas_OB2__khar__1,BDSB_44__khar__1,NGC_7654__khar__1,Czernik_43__khar__1,FSR_0442__khar__1,Skiff_J2330+60.2__khar__1,FSR_0435__khar__1,King_20__khar__1,Czernik_44__khar__1,SAI_149__khar__1,BDSB_46__khar__1,FSR_0441__khar__1,FSR_0443__khar__1,Stock_17__khar__1,Berkeley_103__khar__1,FSR_0448__khar__1,FSR_0451__khar__1,BDSB_47__khar__1,Kronberger_23__dias__1,Pfleiderer_3__dias__1,King_19__dias__1,NGC_7510__dias__1,FSR_0417__dias__1,FSR_0425__dias__1,FSR_0422__dias__1,Markarian_50__dias__1,FSR_0426__dias__1,NGC_7654__dias__1,Czernik_43__dias__1,FSR_0442__dias__1,FSR_0436__dias__1,Skiff_J2330+60.2__dias__1,FSR_0435__dias__1,King_20__dias__1,Czernik_44__dias__1,SAI_149__dias__1,Majaess_225__dias__1,FSR_0441__dias__1,FSR_0443__dias__1,Stock_17__dias__1,Berkeley_103__dias__1,FSR_0448__dias__1,Majaess_227__dias__1,FSR_0451__dias__1,NGC_7510__cocd__1,NGC_7654__cocd__1,Czernik_43__cocd__1"
214,113.24 ,-8.02 ,1.59 ,1.78 ,1.41 ,0.21 ,-2.76 ,12.57 ,53.33 ,0.23 ,717,919,815.52 ,810,46.10 ,0.79 ,0.21 ,-0.72 ,0.21 ,0.48 ,111,180.78 ,8.75,9.14 ,4.45 ,10.43 ,0.11 ,0
215,113.46 ,-5.55 ,0.85 ,1.06 ,0.68 ,0.36 ,-16.98 ,6.21 ,23.30 ,0.40 ,787,1047,923.55 ,917,53.70 ,-6.56 ,0.13 ,-2.40 ,0.12 ,0.35 ,23,43.57 ,7.9,11.47 ,0.37 ,11.47 ,0.37 ,"Berkeley_102__khar__1,Berkeley_102__dias__1"
216,113.57 ,0.15 ,2.83 ,3.11 ,2.58 ,0.17 ,-13.39 ,18.64 ,78.93 ,0.73 ,678,946,807.56 ,812,58.89 ,-4.94 ,0.12 ,-1.58 ,0.12 ,0.26 ,62,117.92 ,8.9,10.84 ,1.37 ,11.61 ,0.35 ,"NGC_7510__khar__1,NGC_7538__khar__1,FSR_0417__khar__1,FSR_0425__khar__1,FSR_0422__khar__1,Markarian_50__khar__1,IRAS_23151+5912__khar__1,Cas_OB2__khar__1,BDSB_44__khar__1,NGC_7654__khar__1,Czernik_43__khar__1,Berkeley_100__khar__1,FSR_0442__khar__1,Skiff_J2330+60.2__khar__1,FSR_0435__khar__1,Berkeley_101__khar__1,Czernik_44__khar__1,SAI_149__khar__1,BDSB_46__khar__1,Stock_17__khar__1,Berkeley_103__khar__1,FSR_0448__khar__1,Negueruela_1__khar__1,Teutsch_23__khar__1,King_21__khar__1,Pfleiderer_4__khar__1,FSR_0451__khar__1,ASCC_130__khar__1,BDSB_47__khar__1,King_12__khar__1,Kronberger_55__khar__1,Harvard_21__khar__1,NGC_7510__dias__1,FSR_0417__dias__1,FSR_0425__dias__1,FSR_0422__dias__1,Markarian_50__dias__1,FSR_0426__dias__1,NGC_7654__dias__1,Czernik_43__dias__1,Berkeley_100__dias__1,FSR_0442__dias__1,FSR_0436__dias__1,Skiff_J2330+60.2__dias__1,FSR_0435__dias__1,Berkeley_101__dias__1,Czernik_44__dias__1,SAI_149__dias__1,Majaess_225__dias__1,Stock_17__dias__1,Berkeley_103__dias__1,FSR_0448__dias__1,Majaess_227__dias__1,Negueruela_1__dias__1,FSR_0453__dias__1,Teutsch_23__dias__1,King_21__dias__1,Pfleiderer_4__dias__1,FSR_0451__dias__1,ASCC_130__dias__1,King_12__dias__1,Kronberger_55__dias__1,Harvard_21__dias__1,NGC_7510__cocd__1,NGC_7654__cocd__1,Czernik_43__cocd__1,King_12__cocd__1"
217,113.64 ,-6.58 ,1.96 ,2.56 ,1.50 ,0.41 ,2.51 ,5.53 ,42.21 ,0.31 ,320,609,457.09 ,450,55.05 ,5.20 ,0.17 ,-4.40 ,0.18 ,0.40 ,48,56.75 ,8,7.38 ,0.27 ,9.22 ,0.14 ,"Berkeley_102__khar__1,Stock_11__dias__1,Berkeley_102__dias__1"
218,114.13 ,2.61 ,0.84 ,1.16 ,0.61 ,0.47 ,1.74 ,3.56 ,15.63 ,0.15 ,721,841,779.79 ,782,23.78 ,-4.90 ,0.17 ,-4.82 ,0.17 ,0.43 ,58,109.56 ,7.9,10.04 ,0.33 ,10.04 ,0.33 ,"Berkeley_100__khar__1,FSR_0442__khar__1,Berkeley_101__khar__1,Berkeley_100__dias__1,FSR_0442__dias__1,Berkeley_101__dias__1"
219,114.27 ,3.86 ,0.39 ,0.78 ,0.20 ,0.75 ,-2.29 ,1.42 ,6.11 ,0.11 ,768,846,802.48 ,801,18.67 ,-1.72 ,0.06 ,-2.48 ,0.07 ,0.18 ,15,32.24 ,8.9,11.18 ,0.55 ,11.18 ,0.55 ,0
220,114.35 ,5.10 ,0.39 ,0.49 ,0.31 ,0.37 ,-5.94 ,1.73 ,6.15 ,0.04 ,910,1024,967.64 ,967,27.94 ,-2.41 ,0.13 ,-2.59 ,0.12 ,0.37 ,102,326.29 ,8.75,9.68 ,1.78 ,10.12 ,0.70 ,0
221,114.71 ,-3.85 ,2.24 ,2.82 ,1.77 ,0.37 ,22.66 ,10.37 ,51.60 ,0.34 ,560,822,690.45 ,691,55.01 ,5.59 ,0.20 ,-1.22 ,0.21 ,0.50 ,73,119.34 ,8.9,7.82 ,1.60 ,9.67 ,0.07 ,"FSR_0459__khar__1,King_20__khar__1,Berkeley_102__khar__1,FSR_0441__khar__1,FSR_0443__khar__1,Berkeley_103__khar__1,NGC_7789__khar__1,FSR_0459__dias__1,King_20__dias__1,Berkeley_102__dias__1,FSR_0441__dias__1,FSR_0443__dias__1,Berkeley_103__dias__1,NGC_7789__dias__1,NGC_7789__cocd__1"
222,114.92 ,0.46 ,1.50 ,1.68 ,1.33 ,0.21 ,0.36 ,11.54 ,48.20 ,0.46 ,743,917,828.35 ,823,40.01 ,1.10 ,0.20 ,0.97 ,0.16 ,0.44 ,78,167.41 ,8.9,10.56 ,0.38 ,11.60 ,0.35 ,"Czernik_44__khar__1,BDSB_46__khar__1,Stock_17__khar__1,FSR_0448__khar__1,Negueruela_1__khar__1,Teutsch_23__khar__1,King_21__khar__1,Pfleiderer_4__khar__1,ASCC_130__khar__1,King_12__khar__1,Kronberger_55__khar__1,Czernik_44__dias__1,Majaess_225__dias__1,Stock_17__dias__1,FSR_0448__dias__1,Negueruela_1__dias__1,FSR_0453__dias__1,Teutsch_23__dias__1,King_21__dias__1,Pfleiderer_4__dias__1,ASCC_130__dias__1,King_12__dias__1,Kronberger_55__dias__1,King_12__cocd__1"
223,114.98 ,14.25 ,0.69 ,0.79 ,0.59 ,0.25 ,-18.42 ,2.01 ,19.70 ,0.12 ,223,484,349.45 ,351,19.75 ,7.38 ,0.51 ,0.48 ,0.44 ,1.27 ,69,81.66 ,6.7,7.75 ,0.05 ,8.12 ,0.00 ,"FSR_0446__khar__1,FSR_0449__khar__1"
224,114.99 ,5.35 ,0.34 ,0.41 ,0.28 ,0.31 ,-7.63 ,1.04 ,4.60 ,0.09 ,727,832,779.59 ,779,20.77 ,-1.41 ,0.11 ,-0.10 ,0.12 ,0.29 ,30,97.25 ,6.85,12.04 ,1.43 ,12.62 ,1.15 ,0
225,115.19 ,-5.29 ,1.96 ,2.67 ,1.44 ,0.46 ,26.49 ,17.01 ,138.26 ,4.11 ,334,515,423.10 ,423,25.42 ,8.02 ,0.29 ,-2.90 ,0.36 ,0.69 ,232,274.51 ,7.1,8.08 ,0.22 ,9.45 ,0.10 ,"NGC_7789__khar__1,Stock_19__dias__1,NGC_7789__dias__1,NGC_7789__cocd__1"
226,115.70 ,6.93 ,0.44 ,0.54 ,0.36 ,0.33 ,0.55 ,3.49 ,13.95 ,0.13 ,829,899,860.29 ,861,14.07 ,-1.55 ,0.09 ,-3.13 ,0.07 ,0.23 ,25,60.65 ,8.8,11.22 ,0.78 ,11.22 ,0.78 ,0
227,116.44 ,-3.68 ,1.82 ,1.88 ,1.76 ,0.06 ,-18.40 ,0.02 ,0.07 ,0.00 ,632,856,741.40 ,746,42.53 ,-4.21 ,0.11 ,-2.19 ,0.13 ,0.27 ,32,67.88 ,7.9,7.62 ,1.72 ,10.94 ,0.24 ,"Alessi_20__cgoc__1,FSR_0459__khar__1,Alessi_20__khar__1,FSR_0474__khar__1,NGC_7795__khar__1,FSR_0459__dias__1,Alessi_20__dias__1,FSR_0474__dias__1,NGC_7795__dias__1,Alessi_20__cocd__1"
228,116.58 ,-1.44 ,1.46 ,1.53 ,1.39 ,0.09 ,9.76 ,5.38 ,24.31 ,0.18 ,649,873,756.27 ,761,43.97 ,-1.10 ,0.20 ,-1.05 ,0.14 ,0.41 ,56,105.60 ,7.9,9.67 ,0.42 ,10.46 ,0.30 ,"Berkeley_58__khar__1,Czernik_1__khar__1,Berkeley_1__khar__1,King_13__khar__1,FSR_0451__khar__1,BDSB_47__khar__1,King_12__khar__1,Harvard_21__khar__1,NGC_7788__khar__1,Frolov_1__khar__1,NGC_7790__khar__1,NGC_7795__khar__1,FSR_0460__khar__1,Berkeley_58__dias__1,Czernik_1__dias__1,Berkeley_1__dias__1,King_13__dias__1,FSR_0451__dias__1,King_12__dias__1,Harvard_21__dias__1,NGC_7788__dias__1,Frolov_1__dias__1,NGC_7790__dias__1,NGC_7795__dias__1,FSR_0460__dias__1,Berkeley_58__cocd__1,King_12__cocd__1,NGC_7788__cocd__1,Frolov_1__cocd__1,NGC_7790__cocd__1"
229,116.69 ,4.41 ,0.98 ,1.16 ,0.82 ,0.29 ,21.02 ,8.95 ,31.88 ,0.06 ,853,1077,960.10 ,965,57.84 ,-3.79 ,0.14 ,-0.88 ,0.13 ,0.32 ,36,116.20 ,8.6,9.45 ,3.15 ,11.02 ,1.02 ,FSR_0465__khar__1
230,116.88 ,9.85 ,0.52 ,0.76 ,0.36 ,0.52 ,4.41 ,3.84 ,24.66 ,0.37 ,442,627,534.10 ,535,17.47 ,4.90 ,0.10 ,-0.79 ,0.12 ,0.28 ,19,26.29 ,8.35,7.53 ,0.51 ,8.58 ,0.24 ,0
231,117.20 ,5.85 ,0.36 ,0.37 ,0.35 ,0.05 ,-21.21 ,1.21 ,4.31 ,0.03 ,930,1000,965.41 ,965,18.16 ,1.45 ,0.14 ,4.00 ,0.16 ,0.43 ,240,661.20 ,9.25,10.41 ,2.32 ,12.67 ,1.31 ,"NGC_7762__cgoc__3,PTB_9__khar__1,PTB_6__khar__1,NGC_7762__khar__1"
232,117.85 ,-16.01 ,1.18 ,1.68 ,0.83 ,0.51 ,0.68 ,6.32 ,38.66 ,0.27 ,473,651,562.55 ,562,24.91 ,-6.36 ,0.12 ,-5.01 ,0.13 ,0.35 ,40,55.51 ,8,8.49 ,0.11 ,8.49 ,0.11 ,UBC2__ubc__2d
233,118.06 ,9.50 ,0.81 ,1.00 ,0.66 ,0.34 ,30.74 ,3.29 ,22.95 ,0.33 ,357,635,492.38 ,493,13.45 ,6.89 ,0.18 ,0.69 ,0.19 ,0.49 ,18,25.00 ,7.9,9.53 ,0.30 ,9.53 ,0.30 ,0
234,119.01 ,3.04 ,1.45 ,1.69 ,1.24 ,0.27 ,-5.38 ,0.01 ,0.06 ,0.00 ,608,838,723.84 ,723,56.48 ,2.42 ,0.30 ,-2.44 ,0.28 ,0.71 ,105,251.44 ,6.5,8.92 ,2.63 ,10.82 ,0.40 ,"BDB_94__khar__1,Majaess_1__dias__1,Majaess_8__dias__1"
235,119.14 ,4.96 ,1.61 ,1.95 ,1.33 ,0.32 ,-15.79 ,4.19 ,16.19 ,0.28 ,779,999,884.49 ,889,52.14 ,0.63 ,0.16 ,2.60 ,0.13 ,0.37 ,26,72.55 ,9,11.12 ,2.15 ,13.16 ,0.83 ,"Berkeley_59__cgoc__1,Berkeley_59__khar__1,Cep_OB4__khar__1,IRAS_00013+6817__khar__1,PTB_7__khar__1,Berkeley_59__dias__1,NGC_7762__dias__1,Berkeley_59__cocd__1"
236,119.22 ,2.36 ,0.73 ,1.09 ,0.49 ,0.55 ,-2.15 ,0.01 ,0.03 ,0.00 ,667,806,735.16 ,736,27.07 ,-0.94 ,0.10 ,0.71 ,0.09 ,0.25 ,42,90.47 ,7.55,11.75 ,0.72 ,11.75 ,0.72 ,Majaess_8__dias__1
237,119.80 ,2.81 ,0.43 ,0.48 ,0.38 ,0.22 ,9.85 ,1.12 ,5.26 ,0.04 ,690,781,733.86 ,735,20.62 ,-0.59 ,0.15 ,-3.75 ,0.17 ,0.45 ,53,112.56 ,7.65,9.15 ,0.78 ,10.81 ,0.61 ,0
238,120.62 ,5.57 ,1.44 ,1.58 ,1.31 ,0.17 ,46.33 ,5.59 ,27.01 ,0.11 ,601,816,710.50 ,712,43.69 ,-4.08 ,0.18 ,-3.76 ,0.21 ,0.43 ,22,53.55 ,8.9,8.34 ,0.81 ,12.04 ,0.51 ,"PTB_7__khar__1,FSR_0503__khar__1"
239,120.88 ,8.88 ,1.79 ,1.95 ,1.64 ,0.16 ,11.71 ,17.86 ,70.90 ,0.74 ,751,984,859.58 ,866,47.38 ,-2.53 ,0.21 ,-1.11 ,0.19 ,0.45 ,67,126.92 ,7.5,11.27 ,0.37 ,11.28 ,0.36 ,"NGC_110__khar__1,NGC_110__dias__1,UBC30__ubc__2d"
240,121.15 ,-3.76 ,1.68 ,1.81 ,1.56 ,0.14 ,-7.53 ,30.53 ,142.79 ,4.59 ,629,841,733.46 ,735,48.33 ,-1.46 ,0.09 ,-2.27 ,0.10 ,0.25 ,29,47.35 ,7.95,8.58 ,0.05 ,8.58 ,0.05 ,"Stock_21__khar__1,NGC_129__khar__1,Czernik_2__khar__1,NGC_129__dias__1,Stock_21__dias__1,Czernik_2__dias__1,Stock_21__cocd__1,NGC_129__cocd__1"
241,121.62 ,2.60 ,0.50 ,0.59 ,0.42 ,0.30 ,-20.75 ,3.73 ,13.53 ,0.05 ,889,1009,947.13 ,949,25.48 ,0.17 ,0.13 ,-0.20 ,0.10 ,0.31 ,27,87.31 ,8.9,11.58 ,1.37 ,12.69 ,1.06 ,0
242,121.95 ,-1.05 ,0.96 ,1.05 ,0.88 ,0.16 ,-7.57 ,2.06 ,10.36 ,0.14 ,620,753,684.41 ,685,25.27 ,-5.33 ,0.13 ,-0.08 ,0.15 ,0.44 ,99,161.73 ,7.75,9.15 ,0.18 ,9.15 ,0.18 ,"NGC_225__cgoc__3,NGC_189__khar__1,Stock_24__khar__1,NGC_225__khar__1,NGC_189__dias__1,Stock_24__dias__1,FSR_0505__dias__1,NGC_225__dias__1,NGC_225__cocd__1"
243,122.03 ,-0.88 ,0.21 ,0.34 ,0.13 ,0.61 ,24.71 ,0.97 ,6.03 ,0.31 ,497,605,553.27 ,554,20.73 ,3.41 ,0.16 ,-2.09 ,0.21 ,0.47 ,19,40.73 ,6.85,10.26 ,1.04 ,10.26 ,1.04 ,"NGC_225__cgoc__1,NGC_225__khar__1,NGC_225__dias__1,NGC_225__cocd__1"
244,122.54 ,3.88 ,0.45 ,0.52 ,0.40 ,0.23 ,-37.12 ,2.14 ,11.58 ,0.06 ,604,662,633.28 ,634,13.53 ,-5.01 ,0.10 ,-3.05 ,0.12 ,0.29 ,62,101.23 ,8.6,9.65 ,0.71 ,11.31 ,0.60 ,"Berkeley_61__khar__1,COIN-Gaia_1__coin__3"
245,123.26 ,-13.34 ,0.62 ,0.73 ,0.52 ,0.30 ,16.53 ,1.21 ,5.91 ,0.04 ,620,790,704.60 ,704,28.03 ,6.51 ,0.18 ,-6.32 ,0.25 ,0.85 ,48,78.47 ,8.8,9.57 ,1.19 ,10.51 ,0.35 ,"Alessi_1__cgoc__3,Alessi_1__khar__1,Casado_Alessi_1__dias__1,Alessi_1__cocd__1"
246,123.41 ,-1.47 ,1.78 ,1.97 ,1.61 ,0.18 ,6.19 ,18.45 ,70.94 ,0.37 ,801,986,894.65 ,894,43.01 ,2.76 ,0.19 ,-1.03 ,0.19 ,0.43 ,140,263.99 ,7.9,9.98 ,0.28 ,11.12 ,0.23 ,"NGC_225__cgoc__1,NGC_381__cgoc__1,NGC_225__khar__1,FSR_0521__khar__1,ASCC_4__khar__1,FSR_0524__khar__1,Czernik_3__khar__1,Cas_OB1__khar__1,NGC_366__khar__1,NGC_381__khar__1,NGC_225__dias__1,FSR_0521__dias__1,ASCC_4__dias__1,Czernik_3__dias__1,NGC_358__dias__1,NGC_366__dias__1,NGC_381__dias__1,NGC_225__cocd__1,NGC_381__cocd__1"
247,124.13 ,-9.27 ,1.74 ,1.84 ,1.65 ,0.11 ,15.49 ,7.58 ,40.85 ,0.39 ,512,805,637.49 ,638,56.30 ,-4.14 ,0.15 ,-2.37 ,0.15 ,0.33 ,39,54.14 ,8.35,9.19 ,0.06 ,9.19 ,0.06 ,FSR_0515__khar__1
248,125.04 ,1.20 ,1.60 ,1.77 ,1.45 ,0.18 ,-3.53 ,4.45 ,20.56 ,0.28 ,634,861,743.02 ,744,51.80 ,-1.41 ,0.16 ,0.47 ,0.14 ,0.34 ,70,132.00 ,8.65,9.72 ,0.92 ,11.61 ,0.58 ,"Berkeley_62__khar__1,Czernik_3__khar__1,BDSB_51__khar__1,FSR_0536__khar__1,FSR_0538__khar__1,Berkeley_62__dias__1,Czernik_3__dias__1,FSR_0536__dias__1,FSR_0538__dias__1"
249,125.20 ,-7.34 ,2.44 ,2.76 ,2.16 ,0.22 ,0.70 ,10.92 ,62.55 ,0.34 ,495,705,597.26 ,600,40.23 ,4.21 ,0.27 ,-3.56 ,0.28 ,0.63 ,113,156.92 ,8.8,6.96 ,1.68 ,9.86 ,0.10 ,"IC_1590__khar__1,ASCC_5__khar__1,FSR_0530__khar__1,IC_1590__dias__1,ASCC_5__dias__1,Majaess_19__dias__1,IC_1590__cocd__1"
250,125.48 ,-1.80 ,0.84 ,1.16 ,0.61 ,0.47 ,-10.22 ,7.80 ,35.25 ,0.36 ,687,833,762.29 ,761,33.27 ,-0.87 ,0.05 ,-2.19 ,0.08 ,0.15 ,22,41.67 ,7.9,11.19 ,0.38 ,11.19 ,0.38 ,"NGC_381__cgoc__1,NGC_381__khar__1,FSR_0534__khar__1,NGC_381__dias__1,FSR_0534__dias__1,NGC_381__cocd__1"
251,125.50 ,-1.59 ,0.72 ,0.96 ,0.54 ,0.44 ,3.13 ,2.81 ,11.62 ,0.29 ,716,943,829.46 ,830,44.28 ,-2.85 ,0.08 ,-1.23 ,0.07 ,0.19 ,16,30.43 ,7.6,12.04 ,0.43 ,12.04 ,0.43 ,"NGC_381__cgoc__1,NGC_381__khar__1,FSR_0534__khar__1,NGC_381__dias__1,FSR_0534__dias__1,NGC_381__cocd__1"
252,125.62 ,5.31 ,1.73 ,1.76 ,1.70 ,0.04 ,76.94 ,5.21 ,20.87 ,0.18 ,759,986,859.50 ,858,47.39 ,-1.46 ,0.14 ,-0.85 ,0.16 ,0.34 ,47,130.41 ,7.4,9.03 ,3.20 ,10.57 ,0.28 ,0
253,125.65 ,7.87 ,0.65 ,0.75 ,0.56 ,0.26 ,25.82 ,1.18 ,5.58 ,0.08 ,698,764,730.54 ,730,15.78 ,-6.17 ,0.10 ,2.09 ,0.13 ,0.33 ,65,122.13 ,8.6,8.35 ,1.76 ,12.03 ,0.65 ,COIN-Gaia_30__coin__3
254,125.76 ,-1.81 ,1.22 ,1.39 ,1.07 ,0.23 ,-0.66 ,8.76 ,34.75 ,0.11 ,780,955,867.15 ,867,38.66 ,3.01 ,0.14 ,-1.52 ,0.16 ,0.40 ,95,179.14 ,8.55,9.67 ,0.34 ,10.75 ,0.29 ,"NGC_381__cgoc__1,NGC_381__khar__1,NGC_433__khar__1,FSR_0534__khar__1,FSR_0537__khar__1,NGC_381__dias__1,NGC_433__dias__1,FSR_0534__dias__1,FSR_0537__dias__1,NGC_381__cocd__1,NGC_433__cocd__1"
255,126.85 ,-4.39 ,1.73 ,1.78 ,1.68 ,0.05 ,82.89 ,2.89 ,12.13 ,0.56 ,724,945,825.94 ,819,47.67 ,-1.67 ,0.16 ,-0.36 ,0.14 ,0.36 ,83,155.36 ,8.75,7.08 ,1.74 ,10.48 ,0.33 ,"NGC_436__khar__1,NGC_457__khar__1,NGC_436__dias__1,NGC_457__dias__1,NGC_457__cocd__1"
256,126.87 ,2.16 ,1.45 ,1.69 ,1.25 ,0.26 ,-30.50 ,13.63 ,64.62 ,0.28 ,623,819,721.24 ,725,37.32 ,2.58 ,0.10 ,-5.02 ,0.11 ,0.25 ,17,32.06 ,8.75,8.51 ,1.54 ,11.43 ,0.67 ,"FSR_0551__cgoc__1,FSR_0538__khar__1,NGC_609__khar__1,FSR_0546__khar__1,FSR_0551__khar__1,FSR_0553__khar__1,FSR_0538__dias__1,NGC_559__dias__1,NGC_609__dias__1,FSR_0546__dias__1,FSR_0551__dias__1,FSR_0553__dias__1"
257,127.40 ,9.37 ,0.77 ,0.86 ,0.70 ,0.19 ,9.14 ,3.65 ,14.68 ,0.03 ,815,902,856.85 ,854,21.47 ,-1.72 ,0.11 ,-0.28 ,0.13 ,0.33 ,271,506.91 ,8.2,7.73 ,1.57 ,11.32 ,0.29 ,"Collinder_463__cgoc__3,Collinder_463__khar__1,Collinder_463__dias__1,Collinder_463__cocd__1"
258,128.00 ,4.78 ,2.02 ,2.31 ,1.77 ,0.23 ,-10.93 ,5.53 ,30.38 ,0.21 ,530,726,625.32 ,626,27.93 ,-5.50 ,0.20 ,-0.31 ,0.24 ,0.53 ,94,175.95 ,7.55,8.04 ,0.55 ,10.15 ,0.38 ,"FSR_0546__khar__1,FSR_0549__khar__1,FSR_0558__khar__1,FSR_0546__dias__1,FSR_0549__dias__1"
259,128.03 ,2.48 ,0.51 ,0.54 ,0.49 ,0.09 ,68.01 ,0.49 ,1.84 ,0.19 ,853,995,922.98 ,924,33.76 ,0.10 ,0.18 ,-1.45 ,0.17 ,0.52 ,80,193.86 ,7.25,9.43 ,0.41 ,9.43 ,0.41 ,"FSR_0551__cgoc__3,NGC_609__khar__1,FSR_0551__khar__1,FSR_0553__khar__1,NGC_609__dias__1,FSR_0551__dias__1,FSR_0553__dias__1"
260,128.99 ,-3.75 ,1.26 ,1.44 ,1.10 ,0.24 ,-4.90 ,7.66 ,31.92 ,0.36 ,732,925,825.94 ,825,41.70 ,2.66 ,0.12 ,-1.86 ,0.14 ,0.30 ,54,101.83 ,7.9,9.74 ,0.32 ,10.70 ,0.32 ,0
261,129.29 ,6.52 ,1.19 ,1.30 ,1.09 ,0.16 ,-13.05 ,6.62 ,22.66 ,0.07 ,918,1092,1007.07 ,1005,37.44 ,0.78 ,0.16 ,0.71 ,0.16 ,0.39 ,54,174.30 ,8.6,10.85 ,1.27 ,12.54 ,0.82 ,"FSR_0558__khar__1,FSR_0561__khar__1"
262,129.73 ,7.38 ,0.87 ,1.02 ,0.74 ,0.27 ,32.30 ,10.63 ,44.28 ,0.29 ,705,949,827.69 ,825,31.60 ,-1.97 ,0.07 ,0.77 ,0.08 ,0.19 ,14,38.57 ,8.5,9.64 ,0.95 ,11.54 ,0.46 ,0
263,130.15 ,-4.96 ,1.83 ,2.00 ,1.67 ,0.16 ,8.70 ,32.54 ,124.72 ,3.72 ,758,1036,900.44 ,897,72.13 ,1.65 ,0.27 ,-2.93 ,0.30 ,0.62 ,223,417.81 ,8.9,7.07 ,0.09 ,7.07 ,0.09 ,"NGC_657__khar__1,ASCC_6__khar__1,Stock_4__khar__1,NGC_657__dias__1,ASCC_6__dias__1,Stock_4__dias__1,Stock_4__cocd__1,COIN-Gaia_5__coin__2d"
264,130.57 ,-3.92 ,0.72 ,0.81 ,0.64 ,0.22 ,-84.20 ,1.41 ,5.46 ,0.21 ,799,979,883.33 ,887,42.70 ,-2.78 ,0.19 ,-0.51 ,0.12 ,0.38 ,38,71.98 ,7.9,11.20 ,0.22 ,11.20 ,0.22 ,"ASCC_6__khar__1,ASCC_6__dias__1,COIN-Gaia_5__coin__3"
265,130.67 ,3.73 ,0.58 ,0.93 ,0.37 ,0.60 ,0.80 ,3.20 ,12.74 ,0.08 ,801,925,864.77 ,864,32.14 ,-0.51 ,0.09 ,-0.37 ,0.11 ,0.24 ,40,96.93 ,8.6,10.52 ,0.55 ,10.52 ,0.55 ,0
266,130.74 ,2.61 ,0.28 ,0.31 ,0.25 ,0.19 ,21.32 ,1.49 ,5.34 ,0.01 ,904,998,952.21 ,957,22.31 ,-0.78 ,0.10 ,-2.11 ,0.09 ,0.27 ,54,131.44 ,7.4,11.82 ,0.65 ,12.35 ,0.60 ,"Stock_5__cgoc__3,Stock_5__khar__1,Stock_5__dias__1,Stock_5__cocd__1"
267,130.99 ,3.68 ,2.03 ,2.26 ,1.83 ,0.19 ,6.02 ,9.54 ,46.51 ,0.70 ,595,813,701.58 ,705,35.90 ,-5.66 ,0.17 ,-1.33 ,0.16 ,0.39 ,33,62.51 ,9.25,9.76 ,0.53 ,9.95 ,0.40 ,"Stock_5__cgoc__1,Stock_5__khar__1,Berkeley_63__khar__1,Berkeley_64__khar__1,Stock_5__dias__1,Berkeley_63__dias__1,Berkeley_64__dias__1,Stock_5__cocd__1"
268,131.49 ,0.17 ,0.51 ,0.57 ,0.46 ,0.20 ,-5.61 ,1.39 ,5.04 ,0.07 ,878,1014,948.76 ,946,36.83 ,-2.23 ,0.13 ,0.87 ,0.12 ,0.32 ,44,122.77 ,8.85,11.02 ,0.58 ,11.91 ,0.56 ,"Czernik_7__khar__1,SAI_16__khar__1,Czernik_7__dias__1,SAI_16__dias__1,COIN-Gaia_34__coin__3"
269,132.28 ,11.08 ,2.27 ,2.49 ,2.07 ,0.17 ,-16.55 ,21.38 ,87.93 ,0.41 ,768,921,841.78 ,836,36.62 ,-1.15 ,0.14 ,0.07 ,0.16 ,0.34 ,97,207.93 ,8.6,10.08 ,0.53 ,10.08 ,0.15 ,"FSR_0568__khar__1,FSR_0569__khar__1,Majaess_29__dias__1"
270,132.91 ,2.72 ,0.69 ,0.85 ,0.56 ,0.35 ,2.10 ,2.56 ,8.66 ,0.06 ,968,1064,1015.55 ,1016,22.40 ,3.18 ,0.11 ,-3.98 ,0.10 ,0.29 ,121,293.21 ,8.9,10.16 ,1.92 ,11.96 ,0.64 ,"Berkeley_63__khar__1,NGC_886__khar__1,Berkeley_63__dias__1,Stock_6__dias__1,NGC_886__cocd__1"
271,133.13 ,3.56 ,1.81 ,1.88 ,1.73 ,0.08 ,-12.18 ,9.84 ,36.46 ,0.14 ,799,1057,928.69 ,928,57.29 ,-0.70 ,0.13 ,0.90 ,0.14 ,0.31 ,69,191.46 ,8.6,10.76 ,0.95 ,11.22 ,0.51 ,"Berkeley_63__khar__1,Berkeley_64__khar__1,NGC_886__khar__1,Berkeley_63__dias__1,Berkeley_64__dias__1,Stock_6__dias__1,NGC_886__cocd__1"
