# name, other_name, ra, dec, diameter, ebv, ebv_error, ejh_ejk, distance_modulus, distance_modulus_error, distance, distance_error, age, age_error, url
SAI 93,FSR 1415,130.0913,-44.7336,3.0,1.87,0.35,0.65,12.74,0.06,3530,100,9.25,0.05,http://ocl.sai.msu.ru/catalog/sai_93/
Ruprecht 68,,131.1438,-35.9000,10.0,0.39,0.05,0.6,11.49,0.08,1990,80,9.15,0.05,http://ocl.sai.msu.ru/catalog/ruprecht_68/
SAI 94,,131.1658,-46.2961,5.0,0.48,0.05,0.58,12.96,0.29,3910,560,9.1,0.1,http://ocl.sai.msu.ru/catalog/sai_94/
SAI 95,FSR 1454,132.7525,-48.4603,5.0,0.57,0.03,0.56,13.96,0.05,6200,140,9.15,0.05,http://ocl.sai.msu.ru/catalog/sai_95/
ESO 211-03,FSR 1463,132.8929,-50.2453,5.0,0.9,0.07,0.58,12.88,0.04,3770,70,9.05,0.1,http://ocl.sai.msu.ru/catalog/eso_211-03/
SAI 96,FSR 1430,132.9558,-44.2631,4.0,2.5,0.33,0.62,12.27,0.33,2840,470,8.85,0.05,http://ocl.sai.msu.ru/catalog/sai_96/
SAI 97,FSR 1432,133.2221,-44.2017,4.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/sai_97/
SAI 98,FSR 1435,134.2625,-43.7611,6.0,1.06,0.06,0.57,10.27,0.3,1130,170,9.75,0.1,http://ocl.sai.msu.ru/catalog/sai_98/
SAI 99,,134.5183,-43.4106,5.0,1.84,0.49,0.72,12.6,0.04,3310,60,8.95,0.05,http://ocl.sai.msu.ru/catalog/sai_99/
SAI 100,FSR 1450,134.5508,-46.2886,3.0,1.62,0.08,0.56,13.65,0.08,5370,200,9.1,0.15,http://ocl.sai.msu.ru/catalog/sai_100/
SAI 101,,134.5933,-43.1264,5.0,1.56,0.04,0.52,11.09,0.05,1650,40,9.0,-inf,http://ocl.sai.msu.ru/catalog/sai_101/
SAI 102,FSR 1402,136.4300,-37.8681,4.0,0.08,0.04,0.33,12.03,0.29,2550,360,9.6,0.05,http://ocl.sai.msu.ru/catalog/sai_102/
SAI 103,FSR 1460,136.9104,-47.8336,7.0,1.31,0.2,0.49,11.3,0.7,1800,700,9.3,0.7,http://ocl.sai.msu.ru/catalog/sai_103/
SAI 104,,137.4783,-48.8508,3.0,1.17,0.11,0.59,9.59,0.14,830,55,8.9,-inf,http://ocl.sai.msu.ru/catalog/sai_104/
