#_name,other_name,ra,dec,diameter,ebv,ebv_error,ejh_ejk,distance_modulus,distance_modulus_error,distance,distance_error,age,age_error,url,l,b
Czernik 23,,87.515,28.8947,5.0,0.38,0.02,0.53,12.0,0.04,2500.0,70.0,8.45,0.05,http://ocl.sai.msu.ru/catalog/czernik_23/,180.5378951925875,0.8102276472651915
Berkeley 72,,87.5733,22.2497,8.0,0.43,0.01,0.57,12.72,0.2,3500.0,300.0,8.65,0.05,http://ocl.sai.msu.ru/catalog/berkeley_72/,186.27175132734345,-2.551127620434493
Koposov 58,FSR 849,87.7958,25.7781,2.0,,,,,,,,,,http://ocl.sai.msu.ru/catalog/koposov_58/,183.3424375282833,-0.5719253406816185
Koposov 43,FSR 848,88.0608,29.9192,8.0,0.38,0.1,0.44,12.21,0.09,2800.0,120.0,9.3,0.1,http://ocl.sai.msu.ru/catalog/koposov_43/,179.90003095974458,1.7424323286841812
SAI 56,FSR 852,88.3775,25.1781,8.0,0.43,0.07,0.47,11.82,0.04,2310.0,50.0,8.9,0.05,http://ocl.sai.msu.ru/catalog/sai_56/,184.12626383860186,-0.42557109965450723
Koposov 52,Teutsch 5,88.4537,26.8406,5.0,1.03,0.04,0.58,12.32,0.11,2900.0,140.0,8.95,0.1,http://ocl.sai.msu.ru/catalog/koposov_52/,182.7281247526993,0.4765616114177904
Czernik 24,,88.8525,20.8864,6.0,0.26,0.12,0.39,13.32,0.01,4600.0,10.0,9.4,0.05,http://ocl.sai.msu.ru/catalog/czernik_24/,188.05159927295745,-2.2174516372938946
Koposov 12,FSR 802,90.2342,35.2767,9.0,0.3,0.03,0.51,11.55,0.03,2050.0,50.0,8.9,0.1,http://ocl.sai.msu.ru/catalog/koposov_12/,176.1596948969464,6.00037702001159
SAI 57,FSR 932,91.0896,14.5728,5.0,0.39,0.07,0.43,10.18,0.1,1090.0,50.0,8.9,0.1,http://ocl.sai.msu.ru/catalog/sai_57/,194.59918660049192,-3.495523444732306
SAI 58,FSR 921,91.2892,16.6842,5.0,1.33,0.33,0.7,11.8,0.2,2290.0,220.0,8.5,0.05,http://ocl.sai.msu.ru/catalog/sai_58/,192.8480953510914,-2.296951661048246
SAI 59,FSR 942,91.4967,13.6644,8.0,0.59,0.01,0.53,11.51,0.25,2000.0,240.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/sai_59/,195.58677707451758,-3.592725754479846
SAI 60,Teutsch 58,91.6608,15.9475,4.0,0.9,0.01,0.54,14.5,0.05,7940.0,190.0,9.05,0.05,http://ocl.sai.msu.ru/catalog/sai_60/,193.66586059515546,-2.3445926090967437
SAI 61,FSR 904,91.73,19.0072,8.0,0.14,0.16,0.22,10.51,0.02,1260.0,20.0,8.8,0.05,http://ocl.sai.msu.ru/catalog/sai_61/,191.0242635915735,-0.7974160840859809
NGC 2158,,91.8658,24.0981,15.0,0.34,0.03,0.57,12.58,0.2,3300.0,300.0,9.3,0.1,http://ocl.sai.msu.ru/catalog/ngc_2158/,186.6379705818792,1.7907014837845274
Koposov 53,,92.2342,26.2636,3.0,0.34,0.04,0.61,12.52,0.03,3200.0,100.0,8.5,-inf,http://ocl.sai.msu.ru/catalog/koposov_53/,184.90284813038724,3.1306848344695557
DC 8,,92.3388,31.2317,2.0,0.72,0.06,0.73,11.62,0.4,2100.0,300.0,9.0,0.05,http://ocl.sai.msu.ru/catalog/dc_8/,180.57445903892716,5.593777425871455
